D:\TES1\IMG\center_2022_06_05_23_43_32_018.jpg,D:\TES1\IMG\left_2022_06_05_23_43_32_018.jpg,D:\TES1\IMG\right_2022_06_05_23_43_32_018.jpg,0,0,0,0.000270191
D:\TES1\IMG\center_2022_06_05_23_43_32_085.jpg,D:\TES1\IMG\left_2022_06_05_23_43_32_085.jpg,D:\TES1\IMG\right_2022_06_05_23_43_32_085.jpg,0,0,0,3.726064E-05
D:\TES1\IMG\center_2022_06_05_23_43_32_153.jpg,D:\TES1\IMG\left_2022_06_05_23_43_32_153.jpg,D:\TES1\IMG\right_2022_06_05_23_43_32_153.jpg,0,0,0,2.048598E-05
D:\TES1\IMG\center_2022_06_05_23_43_32_221.jpg,D:\TES1\IMG\left_2022_06_05_23_43_32_221.jpg,D:\TES1\IMG\right_2022_06_05_23_43_32_221.jpg,0,0,0,5.251161E-05
D:\TES1\IMG\center_2022_06_05_23_43_32_289.jpg,D:\TES1\IMG\left_2022_06_05_23_43_32_289.jpg,D:\TES1\IMG\right_2022_06_05_23_43_32_289.jpg,0,0.1498707,0,0.04882419
D:\TES1\IMG\center_2022_06_05_23_43_32_359.jpg,D:\TES1\IMG\left_2022_06_05_23_43_32_359.jpg,D:\TES1\IMG\right_2022_06_05_23_43_32_359.jpg,0,0.336984,0,0.2699772
D:\TES1\IMG\center_2022_06_05_23_43_32_428.jpg,D:\TES1\IMG\left_2022_06_05_23_43_32_428.jpg,D:\TES1\IMG\right_2022_06_05_23_43_32_428.jpg,0,0.5728965,0,0.6777441
D:\TES1\IMG\center_2022_06_05_23_43_32_496.jpg,D:\TES1\IMG\left_2022_06_05_23_43_32_496.jpg,D:\TES1\IMG\right_2022_06_05_23_43_32_496.jpg,0,0.7481699,0,1.179228
D:\TES1\IMG\center_2022_06_05_23_43_32_565.jpg,D:\TES1\IMG\left_2022_06_05_23_43_32_565.jpg,D:\TES1\IMG\right_2022_06_05_23_43_32_565.jpg,0,0.9958997,0,1.974946
D:\TES1\IMG\center_2022_06_05_23_43_32_634.jpg,D:\TES1\IMG\left_2022_06_05_23_43_32_634.jpg,D:\TES1\IMG\right_2022_06_05_23_43_32_634.jpg,0,1,0,2.664471
D:\TES1\IMG\center_2022_06_05_23_43_32_703.jpg,D:\TES1\IMG\left_2022_06_05_23_43_32_703.jpg,D:\TES1\IMG\right_2022_06_05_23_43_32_703.jpg,0,1,0,3.362427
D:\TES1\IMG\center_2022_06_05_23_43_32_770.jpg,D:\TES1\IMG\left_2022_06_05_23_43_32_770.jpg,D:\TES1\IMG\right_2022_06_05_23_43_32_770.jpg,0,1,0,4.302711
D:\TES1\IMG\center_2022_06_05_23_43_32_844.jpg,D:\TES1\IMG\left_2022_06_05_23_43_32_844.jpg,D:\TES1\IMG\right_2022_06_05_23_43_32_844.jpg,0,1,0,5.233797
D:\TES1\IMG\center_2022_06_05_23_43_32_912.jpg,D:\TES1\IMG\left_2022_06_05_23_43_32_912.jpg,D:\TES1\IMG\right_2022_06_05_23_43_32_912.jpg,0,1,0,5.927452
D:\TES1\IMG\center_2022_06_05_23_43_32_982.jpg,D:\TES1\IMG\left_2022_06_05_23_43_32_982.jpg,D:\TES1\IMG\right_2022_06_05_23_43_32_982.jpg,0,1,0,6.616935
D:\TES1\IMG\center_2022_06_05_23_43_33_051.jpg,D:\TES1\IMG\left_2022_06_05_23_43_33_051.jpg,D:\TES1\IMG\right_2022_06_05_23_43_33_051.jpg,0,1,0,7.530184
D:\TES1\IMG\center_2022_06_05_23_43_33_121.jpg,D:\TES1\IMG\left_2022_06_05_23_43_33_121.jpg,D:\TES1\IMG\right_2022_06_05_23_43_33_121.jpg,0,1,0,8.21032
